"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05243 0.0072 0.0030
0.05253 0.0072 0.0030
0.05263 0.0078 0.0036
0.05273 0.0054 0.0036
0.05283 0.0084 0.0030
0.05293 0.0072 0.0036
0.05303 0.0066 0.0030
0.05313 0.0060 0.0036
0.05323 0.0078 0.0036
0.05333 0.0072 0.0024
0.05343 0.0066 0.0036
0.05353 0.0078 0.0042
0.05363 0.0066 0.0030
0.05373 0.0072 0.0030
0.05383 0.0078 0.0042
0.05393 0.0072 0.0042
0.05403 0.0090 0.0048
0.05412 0.0078 0.0030
0.05422 0.0078 0.0042
0.05432 0.0066 0.0042
0.05442 0.0072 0.0030
0.05452 0.0066 0.0030
0.05462 0.0084 0.0030
0.05472 0.0066 0.0042
0.05482 0.0078 0.0042
0.05492 0.0066 0.0030
0.05502 0.0084 0.0036
0.05512 0.0072 0.0042
0.05522 0.0066 0.0030
0.05532 0.0072 0.0030
0.05542 0.0072 0.0042
0.05552 0.0078 0.0042
0.05562 0.0072 0.0018
0.05572 0.0084 0.0042
0.05582 0.0090 0.0060
0.05592 0.0090 0.0042
0.05602 0.0066 0.0042
0.05612 0.0084 0.0042
0.05622 0.0084 0.0036
0.05632 0.0084 0.0042
0.05642 0.0078 0.0042
0.05652 0.0084 0.0030
0.05662 0.0084 0.0048
0.05672 0.0090 0.0042
0.05682 0.0084 0.0042
0.05692 0.0072 0.0042
0.05702 0.0078 0.0048
0.05712 0.0144 0.0072
0.05721 0.0084 0.0042
0.05731 0.0084 0.0030
0.05741 0.0084 0.0060
0.05751 0.0078 0.0042
0.05761 0.0084 0.0036
0.05771 0.0090 0.0042
0.05781 0.0096 0.0054
0.05791 0.0072 0.0036
0.05801 0.0090 0.0042
0.05811 0.0096 0.0054
0.05821 0.0090 0.0036
0.05831 0.0072 0.0042
0.05841 0.0096 0.0054
0.05851 0.0078 0.0036
0.05861 0.0102 0.0054
0.05871 0.0084 0.0042
0.05881 0.0084 0.0036
0.05891 0.0090 0.0042
0.05901 0.0096 0.0060
0.05911 0.0096 0.0042
0.05921 0.0102 0.0048
0.05931 0.0096 0.0054
0.05941 0.0108 0.0048
0.05951 0.0090 0.0054
0.05961 0.0120 0.0060
0.05971 0.0096 0.0042
0.05981 0.0096 0.0048
0.05991 0.0102 0.0054
0.06001 0.0114 0.0048
0.06011 0.0120 0.0054
0.06021 0.0096 0.0060
0.06030 0.0114 0.0048
0.06040 0.0090 0.0054
0.06050 0.0096 0.0036
0.06060 0.0090 0.0054
0.06070 0.0108 0.0048
0.06080 0.0102 0.0054
0.06090 0.0102 0.0060
0.06100 0.0090 0.0042
0.06110 0.0114 0.0048
0.06120 0.0090 0.0054
0.06130 0.0108 0.0048
0.06140 0.0096 0.0060
0.06150 0.0126 0.0072
0.06160 0.0114 0.0048
0.06170 0.0090 0.0054
0.06180 0.0108 0.0048
0.06190 0.0114 0.0054
0.06200 0.0090 0.0060
0.06210 0.0108 0.0048
0.06220 0.0096 0.0054
0.06230 0.0108 0.0060
0.06240 0.0114 0.0042
0.06250 0.0108 0.0078
0.06260 0.0108 0.0054
