"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01575 1708265 2.14889e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01585 1708092 2.14873e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01595 1707919 2.14857e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01605 1707746 2.14842e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01615 1707573 2.14819e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01625 1707400 2.14797e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01635 1707227 2.14782e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01645 1707054 2.14766e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01655 1706881 2.14751e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01665 1706708 2.14735e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01675 1706535 2.1472e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01685 1706362 2.14704e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01695 1706189 2.14688e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01704 1706016 2.14673e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01714 1705843 2.14658e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01724 1705670 2.14642e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01734 1705497 2.14627e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01744 1705324 2.14612e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
