"number" "dsum" "count" "missing" "quant_error" "fname"
234 50939.0 50939 3943631 0.0 "X:\Projects\bird_flu_surveillance\species\768_Callocephalon_fimbriatum.tif"
235 14404.0 14404 3980166 0.0 "X:\Projects\bird_flu_surveillance\species\769_Zanda_baudinii.tif"
236 3571.0 3571 3990999 0.0 "X:\Projects\bird_flu_surveillance\species\77_Pseudomys_shortridgei.tif"
237 283130. 283130 3711440 0.0 "X:\Projects\bird_flu_surveillance\species\77037_Rostratula_australis.tif"
238 4376.0 4376 3990194 0.0 "X:\Projects\bird_flu_surveillance\species\78900_Tursiops_aduncus_(Arafura-Timor_Sea_populations).tif"
239 217.0 217 3994353 0.0 "X:\Projects\bird_flu_surveillance\species\794_Onychoprion_fuscatus.tif"
240 216.0 216 3994354 0.0 "X:\Projects\bird_flu_surveillance\species\796_Sternula_nereis.tif"
241 2820.0 2820 3991750 0.0 "X:\Projects\bird_flu_surveillance\species\799_Sterna_striata.tif"
242 2.0 2 3994568 0.0 "X:\Projects\bird_flu_surveillance\species\800_Sterna_sumatrana.tif"
243 529.0 529 3994041 0.0 "X:\Projects\bird_flu_surveillance\species\80202_Stagonopleura_bella_samueli.tif"
244 787.0 787 3993783 0.0 "X:\Projects\bird_flu_surveillance\species\80437_Anthochaera_chrysoptera_halmaturina.tif"
245 870.0 870 3993700 0.0 "X:\Projects\bird_flu_surveillance\species\80453_Melithreptus_brevirostris_magnirostris.tif"
246 14.0 14 3994556 0.0 "X:\Projects\bird_flu_surveillance\species\80610_Cecropis_daurica.tif"
247 846.0 846 3993724 0.0 "X:\Projects\bird_flu_surveillance\species\80759_Acanthiza_lineata_whitei.tif"
248 2207.0 2207 3992363 0.0 "X:\Projects\bird_flu_surveillance\species\808_Hydroprogne_caspia.tif"
249 198.0 198 3994372 0.0 "X:\Projects\bird_flu_surveillance\species\80826_Hylacola_pyrrhopygia_parkeri.tif"
250 40.0 40 3994530 0.0 "X:\Projects\bird_flu_surveillance\species\809_Larus_dominicanus.tif"
251 1777.0 1777 3992793 0.0 "X:\Projects\bird_flu_surveillance\species\810_Chroicocephalus_novaehollandiae.tif"
252 35.0 35 3994535 0.0 "X:\Projects\bird_flu_surveillance\species\81011_Mirafra_javanica_melvillensis.tif"
253 1083.0 1083 3993487 0.0 "X:\Projects\bird_flu_surveillance\species\81025_Psophodes_leucogaster_leucogaster.tif"
254 1762.0 1762 3992808 0.0 "X:\Projects\bird_flu_surveillance\species\811_Larus_pacificus.tif"
255 7118.0 7118 3987452 0.0 "X:\Projects\bird_flu_surveillance\species\81322_Orcaella_heinsohni.tif"
256 1479.0 1479 3993091 0.0 "X:\Projects\bird_flu_surveillance\species\815_Thalasseus_bengalensis.tif"
257 3877.0 3877 3990693 0.0 "X:\Projects\bird_flu_surveillance\species\817_Sterna_dougallii.tif"
258 344.0 344 3994226 0.0 "X:\Projects\bird_flu_surveillance\species\818_Stiltia_isabella.tif"
259 2461.0 2461 3992109 0.0 "X:\Projects\bird_flu_surveillance\species\82270_Diomedea_antipodensis_gibsoni.tif"
260 1015.0 1015 3993555 0.0 "X:\Projects\bird_flu_surveillance\species\82273_Thalassarche_bulleri_platei.tif"
261 19.0 19 3994551 0.0 "X:\Projects\bird_flu_surveillance\species\82329_Acanthornis_magna_greeniana.tif"
262 563.0 563 3994007 0.0 "X:\Projects\bird_flu_surveillance\species\82332_Hylacola_cauta_halmaturina.tif"
263 58671.0 58671 3935899 0.0 "X:\Projects\bird_flu_surveillance\species\82338_Anthochaera_phrygia.tif"
265 9919.0 9919 3984651 0.0 "X:\Projects\bird_flu_surveillance\species\82404_Ardenna_carneipes.tif"
267 2.0 2 3994568 0.0 "X:\Projects\bird_flu_surveillance\species\82451_Turnix_varius_scintillans.tif"
268 4634.0 4634 3989936 0.0 "X:\Projects\bird_flu_surveillance\species\825_Anous_stolidus.tif"
269 1564.0 1564 3993006 0.0 "X:\Projects\bird_flu_surveillance\species\82651_Ardenna_grisea.tif"
270 309.0 309 3994261 0.0 "X:\Projects\bird_flu_surveillance\species\82652_Ardenna_tenuirostris.tif"
271 14595.0 14595 3979975 0.0 "X:\Projects\bird_flu_surveillance\species\82790_Rhinonicteris_aurantia_(Pilbara_form).tif"
